state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg
Alaska (EV: 3),2020-11-25 02:21:20.899000,Trump,Biden,189543,153502,36041,7204,2314,0.43215211754537597,0.567847882454624,441,441,2.9794997307205926,0.5891579343166375,0.49883333333333335
Alaska (EV: 3),2020-11-25 01:58:12.730000,Trump,Biden,189484,153129,36355,9518,-308,-0.22889610389610393,1.228896103896104,423,441,2.390341796403955,-0.03963048348860898,0.48213333333333336
Alaska (EV: 3),2020-11-24 13:27:23.804000,Trump,Biden,189457,153551,35906,9210,0,0,0,423,441,2.429972279892564,0.0,0.49006666666666665
Alaska (EV: 3),2020-11-19 13:22:12.587000,Trump,Biden,189457,153551,35906,9210,7323,0.5272429332240884,0.4727570667759115,407,441,2.429972279892564,0.875382041789678,0.49006666666666665
Alaska (EV: 3),2020-11-18 17:22:34.680000,Trump,Biden,185769,150262,35507,16533,0,0,0,389,441,1.554590238102886,0.0,0.5128
Alaska (EV: 3),2020-11-16 17:16:11.858000,Trump,Biden,185769,150262,35507,16533,9950,0.4403015075376885,0.5596984924623115,441,441,1.554590238102886,0.38077865755000384,0.5128
Alaska (EV: 3),2020-11-15 18:50:50.207000,Trump,Biden,181661,144966,36695,26483,4734,0.5688635403464302,0.4311364596535699,441,441,1.1738115805528822,0.1154393072430373,0.5286
Alaska (EV: 3),2020-11-14 02:45:23.181000,Trump,Biden,179080,143037,36043,31217,9595,0.5458572173006775,0.45414278269932257,441,441,1.0583722733098448,0.1489378794496341,0.5611333333333334
Alaska (EV: 3),2020-11-13 14:02:30.128000,Trump,Biden,173233,138070,35163,40812,13161,0.4028189347314034,0.5971810652685966,441,441,0.9094343938602107,0.07897312037258608,0.6196666666666667
Alaska (EV: 3),2020-11-13 02:28:29.699000,Trump,Biden,168954,131233,37721,53973,25245,0.3627649039413745,0.6372350960586255,441,441,0.8304612734876247,0.06791259837831354,0.6213
Alaska (EV: 3),2020-11-12 16:45:22.414000,Trump,Biden,160193,115543,44650,79218,25805,0.4633016857198218,0.5366983142801782,441,441,0.7625486751093111,0.060651972093500484,0.5356666666666666
Alaska (EV: 3),2020-11-11 13:19:23.895000,Trump,Biden,148624,102080,46544,105023,20749,0.4705287001783218,0.5294712998216782,441,441,0.7018967030158106,0.03171768919360296,0.5417666666666666
Alaska (EV: 3),2020-11-11 02:54:02.038000,Trump,Biden,139264,91497,47767,125772,49264,0.4306694543683014,0.5693305456316986,441,441,0.6701790138222077,0.034848324563975575,0.5693406950308542
Alaska (EV: 3),2020-11-09 19:14:34.730000,Trump,Biden,118844,64246,54598,175036,18939,0.584904166006653,0.41509583399334704,441,441,0.6353306892582321,0.023088540719360395,0.3712
Alaska (EV: 3),2020-11-04 18:40:57.265000,Trump,Biden,108231,56849,51382,193975,39556,0.7040272019415512,0.2959727980584488,360,441,0.6122421485388717,0.05837106948051096,0.29598543836586105
Alaska (EV: 3),2020-11-04 13:28:22.084000,Trump,Biden,80999,45758,35241,233531,0,0,0,201,441,0.5538710790583607,-0.44612892094163925,
Arizona (EV: 11),2020-11-30 21:19:17.992000,Biden,Trump,1672143,1661686,10457,-1463,1481,0.5,0.5,1489,1489,0,0,0.5340666666666667
Arizona (EV: 11),2020-11-23 19:16:20.625000,Biden,Trump,1672143,1661686,10457,0,0,0,0,1489,1489,0,0,0.5363
Arizona (EV: 11),2020-11-19 16:32:12.936000,Biden,Trump,1672143,1661686,10457,0,0,0,0,1487,1489,0,-1.9597617746677838,0.5363
Arizona (EV: 11),2020-11-16 18:53:53.155000,Biden,Trump,1672143,1661686,10457,3563,98,0.9081632653061225,0.09183673469387756,1487,1489,1.9597617746677838,0.05020766026512602,0.5363
Arizona (EV: 11),2020-11-15 01:35:27.663000,Biden,Trump,1672054,1661677,10377,3661,425,0.6964705882352942,0.3035294117647059,1487,1489,1.9095541144026578,0.16784794684784843,0.5378
Arizona (EV: 11),2020-11-15 00:45:46.698000,Biden,Trump,1671760,1661550,10210,4086,350,0.7771428571428571,0.22285714285714286,1487,1489,1.7417061675548093,0.1204430672164225,0.5412
Arizona (EV: 11),2020-11-14 16:41:04.588000,Biden,Trump,1671491,1661475,10016,4436,0,0,0,1487,1489,1.6212631003383868,0.0,0.5449666666666667
Arizona (EV: 11),2020-11-14 01:21:23.582000,Biden,Trump,1671491,1661475,10016,4436,1454,0.45873452544704263,0.5412654745529574,1486,1489,1.6212631003383868,0.2685012550310184,0.5449666666666667
Arizona (EV: 11),2020-11-14 00:53:23.372000,Biden,Trump,1670843,1660707,10136,5890,1648,0.2311893203883495,0.7688106796116505,1486,1489,1.3527618453073684,0.12934376887139076,0.5448666666666667
Arizona (EV: 11),2020-11-14 00:27:04.642000,Biden,Trump,1670481,1659459,11022,7538,424,0.5424528301886793,0.45754716981132076,1485,1489,1.2234180764359777,0.041192047834998524,0.53
Arizona (EV: 11),2020-11-13 21:43:04.006000,Biden,Trump,1670260,1659274,10986,7962,2,0.0,1.0,1485,1489,1.1822260286009791,4.769465425602526e-05,0.5306
Arizona (EV: 11),2020-11-13 18:22:52.222000,Biden,Trump,1670260,1659272,10988,7964,3681,0.4394186362401521,0.5605813637598479,1485,1489,1.1821783339467231,0.1989101057002346,0.5305666666666666
Arizona (EV: 11),2020-11-13 04:15:10.028000,Biden,Trump,1668684,1657250,11434,11645,4057,0.549297510475721,0.45070248952427905,1485,1489,0.9832682282464885,0.13958132040376847,0.5254
Arizona (EV: 11),2020-11-13 03:18:29.398000,Biden,Trump,1666495,1655461,11034,15702,0,0,0,1485,1489,0.84368690784272,-0.04669543295832945,0.5419
Arizona (EV: 11),2020-11-13 02:46:29.074000,Biden,Trump,1666495,1655461,11034,13860,0,0,0,1485,1489,0.8903823408010495,0.044057722835393665,0.5419
Arizona (EV: 11),2020-11-13 00:44:45.185000,Biden,Trump,1666495,1655461,11034,15585,1122,0.34135472370766484,0.6586452762923352,1485,1489,0.8463246179656558,0.013118729375047322,0.5419
Arizona (EV: 11),2020-11-12 21:46:24.532000,Biden,Trump,1666122,1654732,11390,16707,5589,0.48693862945070676,0.5130613705492932,1485,1489,0.8332058885906085,0.08216902882913579,0.5405
Arizona (EV: 11),2020-11-12 21:26:43.977000,Biden,Trump,1663460,1651924,11536,22296,1,0.0,1.0,1484,1489,0.7510368597614727,-1.0819757513047534e-05,0.5517
Arizona (EV: 11),2020-11-12 17:34:03.905000,Biden,Trump,1663460,1651923,11537,22297,127,0.11417322834645671,0.8858267716535433,1484,1489,0.7510476795189858,-0.000350388090902487,0.5516666666666666
Arizona (EV: 11),2020-11-12 03:20:22.382000,Biden,Trump,1663447,1651812,11635,22456,13143,0.4546146237540897,0.5453853762459103,1484,1489,0.7513980676098883,0.07887417245106365,0.5501666666666667
Arizona (EV: 11),2020-11-11 23:15:16.621000,Biden,Trump,1657621,1644793,12828,35599,4966,0.5015102698348772,0.4984897301651228,1484,1489,0.6725238951588246,0.022234864869526638,0.5675
Arizona (EV: 11),2020-11-11 03:20:22.443000,Biden,Trump,1655192,1642379,12813,40565,0,0,0,1482,1489,0.650289030289298,0.0,0.5798
Arizona (EV: 11),2020-11-11 02:15:41.002000,Biden,Trump,1655192,1642379,12813,40565,5291,0.42732942732942736,0.5726705726705726,1481,1489,0.650289030289298,0.009835419145143742,0.5798
Arizona (EV: 11),2020-11-11 01:54:41.963000,Biden,Trump,1652979,1639397,13582,45856,342,0.6052631578947368,0.39473684210526316,1481,1489,0.6404536111441542,0.0018745693643298367,0.5835666666666667
Arizona (EV: 11),2020-11-11 01:17:22.930000,Biden,Trump,1652778,1639268,13510,46198,384,0.16927083333333337,0.8307291666666666,1481,1489,0.6385790417798244,-0.0015210390503573867,0.5858333333333333
Arizona (EV: 11),2020-11-11 00:53:02.360000,Biden,Trump,1652716,1638952,13764,46582,2,0.0,1.0,1481,1489,0.6401000808301818,-1.5119099614824272e-05,0.5828
Arizona (EV: 11),2020-11-11 00:40:41.689000,Biden,Trump,1652716,1638950,13766,46584,1290,0.3267441860465117,0.6732558139534883,1481,1489,0.6401151999297966,-0.0006903348545911348,0.5827666666666667
Arizona (EV: 11),2020-11-10 23:21:41.803000,Biden,Trump,1652315,1638102,14213,47874,914,0.36050328227571116,0.6394967177242888,1481,1489,0.6408055347843877,0.00016712196165680204,0.5794
Arizona (EV: 11),2020-11-10 21:42:43.157000,Biden,Trump,1651994,1637526,14468,48788,5480,0.4758211678832117,0.5241788321167883,1481,1489,0.6406384128227309,0.01276666804212967,0.5780333333333333
Arizona (EV: 11),2020-11-10 20:13:21.489000,Biden,Trump,1648643,1633910,14733,54268,15,0.06666666666666665,0.9333333333333333,1479,1489,0.6278717447806013,-8.219762283989684e-05,0.5887333333333333
Arizona (EV: 11),2020-11-10 02:18:36.294000,Biden,Trump,1648642,1633896,14746,54283,6397,0.48905737064248866,0.5109426293575113,1479,1489,0.6279539424034412,0.03671202217423397,0.5885
Arizona (EV: 11),2020-11-10 00:49:22.288000,Biden,Trump,1645586,1630700,14886,75101,600,0.3883333333333333,0.6116666666666667,1479,1489,0.5912419202292072,-9.993555511311758e-05,0.5744666666666667
Arizona (EV: 11),2020-11-09 23:56:09.999000,Biden,Trump,1645359,1630339,15020,75701,591,0.1514382402707276,0.8485617597292724,1479,1489,0.5913418557843203,-0.0019325040478374023,0.5697
Arizona (EV: 11),2020-11-09 22:31:23.782000,Biden,Trump,1645277,1629845,15432,76292,3437,0.3111725341867908,0.6888274658132092,1479,1489,0.5932743598321577,-0.003787838946904709,0.5602333333333334
Arizona (EV: 11),2020-11-09 21:15:22.385000,Biden,Trump,1644260,1627530,16730,79729,787,0.2452350698856417,0.7547649301143583,1476,1489,0.5970621987790624,-0.00146491893825762,0.5323333333333333
Arizona (EV: 11),2020-11-09 18:41:15.883000,Biden,Trump,1644074,1626943,17131,80516,424,0.5860849056603774,0.41391509433962265,1475,1489,0.59852711771732,0.0010072771747398068,0.5262333333333333
Arizona (EV: 11),2020-11-09 18:30:48.110000,Biden,Trump,1643832,1626774,17058,80940,145,0.7827586206896552,0.21724137931034482,1475,1489,0.5975198405425802,0.0006939689078245825,0.5289666666666667
Arizona (EV: 11),2020-11-09 18:16:49.347000,Biden,Trump,1643720,1626744,16976,81085,124,0.46370967741935487,0.5362903225806451,1475,1489,0.5968258716347556,0.00010426795303286607,0.5311666666666667
Arizona (EV: 11),2020-11-09 01:03:10.636000,Biden,Trump,1643664,1626679,16985,81209,327,0.5504587155963303,0.44954128440366975,1475,1489,0.5967216036817228,0.0006213349349576403,0.5317333333333333
Arizona (EV: 11),2020-11-08 23:35:28.185000,Biden,Trump,1643488,1626536,16952,81536,16739,0.4059083577274628,0.5940916422725372,1475,1489,0.5961002687467651,0.001646864907158374,0.5342
Arizona (EV: 11),2020-11-08 23:26:06.891000,Biden,Trump,1636934,1616832,20102,98275,0,0,0,1471,1489,0.5944534038396068,0.01166345743085584,0.5360333333333334
